index	dtb_offset	dtb_size	sha256	compatible	project_hint
0	0x200	0x53e40	2b3fdb090f7a12a5a32cbcdd23ee33c2f6c22db637ef045e6856788bc27cb215	"qcom,sm8150-mtp", "qcom,sm8150", "qcom,mtp"	[ 00 00 00 01 ] | [ 00 00 49 85 ]
1	0x54040	0x52218	ca30864d431de9e5b421cc36fd04629f82618a507b72cba7c20adefe2c924ce7	"qcom,sm8150-mtp", "qcom,sm8150", "qcom,mtp"	[ 00 00 00 01 ] | [ 00 00 49 b1 ]
2	0xa6258	0x5221c	f322e978d132b7c473584a1d79ee5e23096a2d186a92eea4f5631527433ed9c5	"qcom,sm8150-mtp", "qcom,sm8150", "qcom,mtp"	[ 00 00 00 01 ] | [ 00 00 49 b1 ]
3	0xf8474	0x52335	0ab27814db796fd7c609c13475b65268d24b5d32ba1d9e7da49e9b4c881b78e7	"qcom,sm8150-mtp", "qcom,sm8150", "qcom,mtp"	[ 00 00 00 01 ] | [ 00 00 49 b1 ]
4	0x14a7a9	0x52370	92bbbeb7932cd544a3a2060446469912a65736c1ac82e2bcb418e91944a053c5	"qcom,sm8150-mtp", "qcom,sm8150", "qcom,mtp"	[ 00 00 00 01 ] | [ 00 00 4d 97 ]
5	0x19cb19	0x52374	8fe0696a2999ab3713979f08f7de1799c62a14adce6bf04391646067e427c24c	"qcom,sm8150-mtp", "qcom,sm8150", "qcom,mtp"	[ 00 00 00 01 ] | [ 00 00 4d 97 ]
6	0x1eee8d	0x5248d	cef11b6d722a7425c83ce61326783ca85c58d97bd1eaf02ecedb227314543579	"qcom,sm8150-mtp", "qcom,sm8150", "qcom,mtp"	[ 00 00 00 01 ] | [ 00 00 4d 97 ]
7	0x24131a	0x57d37	22292346fa9b997144d378413d7351bfd3d00a50e38b8c14ced9f16cfa818222	"qcom,sm8150-mtp", "qcom,sm8150", "qcom,mtp"	[ 00 00 4d 95 ] | [ 00 00 00 01 ]
8	0x299051	0x57d37	9b3828e24a47d99f7b2388dd7d8bd22edd90c2184f7b752ae4de794ee588f341	"qcom,sm8150-mtp", "qcom,sm8150", "qcom,mtp"	[ 00 00 4d 95 ] | [ 00 00 00 01 ]
9	0x2f0d88	0x57d37	358251ad035584229c9556d0461b63f2b79049b71d102e849b53e6adce72aded	"qcom,sm8150-mtp", "qcom,sm8150", "qcom,mtp"	[ 00 00 4d 95 ] | [ 00 00 00 01 ]
10	0x348abf	0x57d2b	2fa7446d74d533371d903dc1ff0942999bf0e76b0465f4c761fa394e208d8805	"qcom,sm8150-mtp", "qcom,sm8150", "qcom,mtp"	[ 00 00 4d 95 ] | [ 00 00 00 01 ]
11	0x3a07ea	0x57e5c	f90aa2788a5cf1be0570d48878fd86ede508c6e5b8a7e4770f762d00d8fc32ba	"qcom,sm8150-mtp", "qcom,sm8150", "qcom,mtp"	[ 00 00 4d 95 ] | [ 00 00 00 01 ]
12	0x3f8646	0x50283	0a868ded5498366387ee731b2c7726ea83cf467afa0a9d8e70a86684f2fffd51	"qcom,sm8150-mtp", "qcom,sm8150", "qcom,mtp"	[ 00 00 00 01 ] | [ 00 00 49 a9 ]
13	0x4488c9	0x524c5	bb514b44e9f05ca490ee2cc6f1f95ad1c8813343764a92f7320ad70cceb3c495	"qcom,sm8150-mtp", "qcom,sm8150", "qcom,mtp"	[ 00 00 00 01 ] | [ 00 00 4d 59 ]
14	0x49ad8e	0x525e2	3723886c1df96396330286aa8b44a3f996a965b797341dd0397ee04283dfee04	"qcom,sm8150-mtp", "qcom,sm8150", "qcom,mtp"	[ 00 00 00 01 ] | [ 00 00 4d 59 ]
