path	base_blob	miru_blob	android_common_blob	final_mode	final_blob
drivers/devfreq/devfreq.c	b05e6a15221c9dfc6ab65a84bf26761aeaa72b73	e66ea89537923a3b8232a568e150d173b33f4cc6	e6674448a0bc3ae69f223af9f40d7d9cb7e751ec	100644	ffa38b2a847440ef62661d1a8b72e43ff61dc875
drivers/gpu/drm/drm_mipi_dsi.c	bd5e8661f826a596c99f191298bb948da9a503d7	e58eebf6d459a0220c4f4b64fd7a8564976679e6	6995bee5ad0fb30582f2b89ca27c9d0e4524cb1f	100644	2b0af50e5e0999478a584c62b41b32c22909294f
drivers/mmc/core/block.c	f2871464db5b85d2e01e387e40703ef15ca616d0	21c4179c26706167ca0298b46e2e9149c4dc76cd	3fc4bba0f785967d9a03bc95666cf35f6ed3b7e1	100644	db2fdbbe7478ba7d389383e6e7d930d18e44bffe
drivers/mtd/ubi/wl.c	545a92eb8f56977dcd5f480e8ddbf0db6d1a4b05	52c108378831c0d3cd44392d335aaf82a8b18f5f	4411ce5d1c8fcc940e37bc6f8caa8a1bf26f0e6d	100644	404cb6e1099cb3f9a7b36a9a9ff715419b7104cc
drivers/thermal/thermal_core.c	8374b8078b7df60b79077049390ee605fa91d581	fa8dbf393e73618dd51c917eb684e3214f86ba75	e24d46f7157157664dff54547a498562deb3cbdc	100644	6df9a1c24217ae7463be653b7525c82b1e7464ae
drivers/usb/dwc3/core.c	5a4bd093c311fd5a8abbbb45d85af3ef46a34ddd	533a1b635e051d27b8691834da3ce6f1d3506179	2e0ef23d2122ac4da37282dc09b304649787f81a	100644	f2602eb6901f4ff2e7fbbad6bef2b9c560f7aadd
drivers/usb/dwc3/gadget.c	5d142d7f6272fdbe11854a02291513863ddfc990	015201f84063803c8009885c7aae9ca7923ea48e	0b65328adff17d8679abe2b8625ae36568c0b4c7	100644	f897b4fbda584d473f8a96cdd4440e2b4425c782
drivers/usb/gadget/function/f_fs.c	946cf039edddb7d5cf4b144c61703218a24d6c41	75f0b7e042bce29ce74418808f1ec2d44ae673e4	b66b70812554d3151221f67b6a164624ee49ecb9	100644	57f07af22817b0bbf8b252bc4eb017177455f6e6
include/net/pkt_sched.h	b3869f97d37d777224c4e925b2f89d853b3211a4	9a90f99fa554d95dec0a23f8ca2a87a9870a588d	7b6024f2d4eaa0d151f75394b73fbeca7eac05a9	100644	317dcf495a8f198950a7ee6fb262bbff489e2097
init/main.c	d50ea3c3473e7c84fee9eb94859686e99a234208	46a986812509dab8d0a1769364b8557687fb7ddd	4a0518fbfd21d0e68b62aeca74d9f4cc8e94c36a	100644	bc4e5bb5430c7da5a71195c1daa34fbc429d1c4d
kernel/events/core.c	19993a31d3106386c0888c78ff797ed5fe8b61df	71b136b7750e65a5763f54977164eefb4ae11908	4a1e54b83ca351de73460f81f8d2fda66372c39b	100644	9ad14fba1fc171f45f58456d92b84c01da92cf14
kernel/sched/fair.c	2ffa6ee813ada10f4bd6f99bd4103a6037dc04cb	2b91d65923269f242aa1406de35edda76afc5d7f	67eede9ddd4c739edd5b45ce4507de598d2069fc	100644	eb4e41c0f0df42567f73cea1c7e3c8f5c5a5898d
lib/ubsan.h	7e30b26497e0cd0e2d7c055222349eac5d228a84	f3e96ddf9bcad11e3a03e3297275a5f1d7545d02	f4d8d0bd4016f42d7c9c50b66d0250367e8dd555	100644	f3e96ddf9bcad11e3a03e3297275a5f1d7545d02
scripts/checkpatch.pl	4107f4094e0cabad95064e762936b998e085c093	b340a951e355208f86f99a3f2e827492d487c2da	25fdb7fda1128aa99d2d32ee3a125fc4c00292cf	100755	fe521eb72ad53ed4a0c72639ed089ec920822b40
