index	source	output	project_id	device_label	stock_model	dt_id	dt_revision	custom0	custom1	custom2	custom3	stock_size	stock_sha256	active_sha256
0	overlays/000-18821-all.dts	000-18821-all.dtbo	18821	OnePlus 7 Pro	Qualcomm Technologies, Inc. SM8150 MTP 18821	0	0	0	0	0	0	343616	2b3fdb090f7a12a5a32cbcdd23ee33c2f6c22db637ef045e6856788bc27cb215	2b3fdb090f7a12a5a32cbcdd23ee33c2f6c22db637ef045e6856788bc27cb215
1	overlays/001-18865-evt-pvt-dvt.dts	001-18865-evt-pvt-dvt.dtbo	18865	unknown	SM8150 MTP 18865 EVT PVT DVT	0	0	0	0	0	0	336408	ca30864d431de9e5b421cc36fd04629f82618a507b72cba7c20adefe2c924ce7	ca30864d431de9e5b421cc36fd04629f82618a507b72cba7c20adefe2c924ce7
2	overlays/002-18865-evt-pvt-dvt-second.dts	002-18865-evt-pvt-dvt-second.dtbo	18865	unknown	SM8150 MTP 18865 EVT PVT DVT second	0	0	0	0	0	0	336412	f322e978d132b7c473584a1d79ee5e23096a2d186a92eea4f5631527433ed9c5	f322e978d132b7c473584a1d79ee5e23096a2d186a92eea4f5631527433ed9c5
3	overlays/003-18865-t0-11.dts	003-18865-t0-11.dtbo	18865	unknown	SM8150 MTP 18865 T0 11	0	0	0	0	0	0	336693	0ab27814db796fd7c609c13475b65268d24b5d32ba1d9e7da49e9b4c881b78e7	0ab27814db796fd7c609c13475b65268d24b5d32ba1d9e7da49e9b4c881b78e7
4	overlays/004-19863-evt-pvt-dvt.dts	004-19863-evt-pvt-dvt.dtbo	19863	unknown	SM8150 MTP 19863 EVT PVT DVT	0	0	0	0	0	0	336752	92bbbeb7932cd544a3a2060446469912a65736c1ac82e2bcb418e91944a053c5	92bbbeb7932cd544a3a2060446469912a65736c1ac82e2bcb418e91944a053c5
5	overlays/005-19863-evt-pvt-dvt-second.dts	005-19863-evt-pvt-dvt-second.dtbo	19863	unknown	SM8150 MTP 19863 EVT PVT DVT second	0	0	0	0	0	0	336756	8fe0696a2999ab3713979f08f7de1799c62a14adce6bf04391646067e427c24c	8fe0696a2999ab3713979f08f7de1799c62a14adce6bf04391646067e427c24c
6	overlays/006-19863-t0-11.dts	006-19863-t0-11.dtbo	19863	unknown	SM8150 MTP 19863 T0 11	0	0	0	0	0	0	337037	cef11b6d722a7425c83ce61326783ca85c58d97bd1eaf02ecedb227314543579	cef11b6d722a7425c83ce61326783ca85c58d97bd1eaf02ecedb227314543579
7	overlays/007-19861-model-19861-44-45.dts	007-19861-model-19861-44-45.dtbo	19861	OnePlus 7T Pro 5G (hotdogg)	SDX55M MTP 19861 44 45	0	0	0	0	0	0	359735	22292346fa9b997144d378413d7351bfd3d00a50e38b8c14ced9f16cfa818222	22292346fa9b997144d378413d7351bfd3d00a50e38b8c14ced9f16cfa818222
8	overlays/008-19861-model-19861-51-52.dts	008-19861-model-19861-51-52.dtbo	19861	OnePlus 7T Pro 5G (hotdogg)	SDX55M MTP 19861 51 52	0	0	0	0	0	0	359735	9b3828e24a47d99f7b2388dd7d8bd22edd90c2184f7b752ae4de794ee588f341	9b3828e24a47d99f7b2388dd7d8bd22edd90c2184f7b752ae4de794ee588f341
9	overlays/009-19861-model-19861-53-54.dts	009-19861-model-19861-53-54.dtbo	19861	OnePlus 7T Pro 5G (hotdogg)	SDX55M MTP 19861 53 54	0	0	0	0	0	0	359735	358251ad035584229c9556d0461b63f2b79049b71d102e849b53e6adce72aded	358251ad035584229c9556d0461b63f2b79049b71d102e849b53e6adce72aded
10	overlays/010-19861-model-18961-43.dts	010-19861-model-18961-43.dtbo	19861	OnePlus 7T Pro 5G (hotdogg)	SDX55M MTP 18961 43	0	0	0	0	0	0	359723	2fa7446d74d533371d903dc1ff0942999bf0e76b0465f4c761fa394e208d8805	2fa7446d74d533371d903dc1ff0942999bf0e76b0465f4c761fa394e208d8805
11	overlays/011-19861-model-18961-41-42.dts	011-19861-model-18961-41-42.dtbo	19861	OnePlus 7T Pro 5G (hotdogg)	SDX55M MTP 18961 41 42	0	0	0	0	0	0	360028	f90aa2788a5cf1be0570d48878fd86ede508c6e5b8a7e4770f762d00d8fc32ba	f90aa2788a5cf1be0570d48878fd86ede508c6e5b8a7e4770f762d00d8fc32ba
12	overlays/012-18857-all.dts	012-18857-all.dtbo	18857	unknown	Qualcomm Technologies, Inc. SM8150 MTP 18857	0	0	0	0	0	0	328323	0a868ded5498366387ee731b2c7726ea83cf467afa0a9d8e70a86684f2fffd51	0a868ded5498366387ee731b2c7726ea83cf467afa0a9d8e70a86684f2fffd51
13	overlays/013-19801-evt-pvt-dvt.dts	013-19801-evt-pvt-dvt.dtbo	19801	unknown	SM8150 MTP 19801 EVT PVT DVT	0	0	0	0	0	0	337093	bb514b44e9f05ca490ee2cc6f1f95ad1c8813343764a92f7320ad70cceb3c495	bb514b44e9f05ca490ee2cc6f1f95ad1c8813343764a92f7320ad70cceb3c495
14	overlays/014-19801-t0-11.dts	014-19801-t0-11.dtbo	19801	unknown	SM8150 MTP 19801 T0 11	0	0	0	0	0	0	337378	3723886c1df96396330286aa8b44a3f996a965b797341dd0397ee04283dfee04	3723886c1df96396330286aa8b44a3f996a965b797341dd0397ee04283dfee04
